color,director_name,duration,actor_1_name,movie_title,language,country,title_year,imdb_score
Color,Marc Webb,153.0,Emma Stone,The Amazing Spider-Man ,English,USA,2012.0,7.0
Color,Ridley Scott,156.0,Mark Addy,Robin Hood ,English,USA,2010.0,6.7
Color,Peter Jackson,186.0,Aidan Turner,The Hobbit: The Desolation of Smaug ,English,USA,2013.0,7.9
Color,Chris Weitz,113.0,Christopher Lee,The Golden Compass ,English,USA,2007.0,6.1
Color,Peter Jackson,201.0,Naomi Watts,King Kong ,English,New Zealand,2005.0,7.2
Color,James Cameron,194.0,Leonardo DiCaprio,Titanic ,English,USA,1997.0,7.7
Color,Anthony Russo,147.0,Robert Downey Jr.,Captain America: Civil War ,English,USA,2016.0,8.2
Color,Peter Berg,131.0,Liam Neeson,Battleship ,English,USA,2012.0,5.9
Color,Colin Trevorrow,124.0,Bryce Dallas Howard,Jurassic World ,English,USA,2015.0,7.0
Color,Sam Mendes,143.0,Albert Finney,Skyfall ,English,UK,2012.0,7.8
Color,Sam Raimi,135.0,J.K. Simmons,Spider-Man 2 ,English,USA,2004.0,7.3
Color,Shane Black,195.0,Robert Downey Jr.,Iron Man 3 ,English,USA,2013.0,7.2
Color,Tim Burton,108.0,Johnny Depp,Alice in Wonderland ,English,USA,2010.0,6.5
Color,Brett Ratner,104.0,Hugh Jackman,X-Men: The Last Stand ,English,Canada,2006.0,6.8
Color,Dan Scanlon,104.0,Steve Buscemi,Monsters University ,English,USA,2013.0,7.3
Color,Michael Bay,150.0,Glenn Morshower,Transformers: Revenge of the Fallen ,English,USA,2009.0,6.0
Color,Michael Bay,165.0,Bingbing Li,Transformers: Age of Extinction ,English,USA,2014.0,5.7
Color,Sam Raimi,130.0,Tim Holmes,Oz the Great and Powerful ,English,USA,2013.0,6.4
Color,Marc Webb,142.0,Emma Stone,The Amazing Spider-Man 2 ,English,USA,2014.0,6.7
Color,Joseph Kosinski,125.0,Jeff Bridges,TRON: Legacy ,English,USA,2010.0,6.8
Color,John Lasseter,106.0,Joe Mantegna,Cars 2 ,English,USA,2011.0,6.3
Color,Martin Campbell,123.0,Ryan Reynolds,Green Lantern ,English,USA,2011.0,5.6
Color,Lee Unkrich,103.0,Tom Hanks,Toy Story 3 ,English,USA,2010.0,8.3
Color,McG,118.0,Christian Bale,Terminator Salvation ,English,USA,2009.0,6.6
Color,James Wan,140.0,Jason Statham,Furious 7 ,English,USA,2015.0,7.2
Color,Marc Forster,123.0,Peter Capaldi,World War Z ,English,USA,2013.0,7.0
Color,Bryan Singer,149.0,Jennifer Lawrence,X-Men: Days of Future Past ,English,USA,2014.0,8.0
Color,J.J. Abrams,132.0,Benedict Cumberbatch,Star Trek Into Darkness ,English,USA,2013.0,7.8
Color,Bryan Singer,114.0,Eddie Marsan,Jack the Giant Slayer ,English,USA,2013.0,6.3
Color,Baz Luhrmann,143.0,Leonardo DiCaprio,The Great Gatsby ,English,Australia,2013.0,7.3
Color,Mike Newell,116.0,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,English,USA,2010.0,6.6
Color,Guillermo del Toro,131.0,Charlie Hunnam,Pacific Rim ,English,USA,2013.0,7.0
Color,Michael Bay,154.0,Glenn Morshower,Transformers: Dark of the Moon ,English,USA,2011.0,6.3
Color,Steven Spielberg,122.0,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,English,USA,2008.0,6.2
Color,Peter Sohn,93.0,A.J. Buckley,The Good Dinosaur ,English,USA,2015.0,6.8
Color,Mark Andrews,93.0,Kelly Macdonald,Brave ,English,USA,2012.0,7.2
Color,Justin Lin,122.0,Sofia Boutella,Star Trek Beyond ,English,USA,2016.0,7.5
Color,Andrew Stanton,98.0,John Ratzenberger,WALL·E ,English,USA,2008.0,8.4
Color,Brett Ratner,91.0,Tzi Ma,Rush Hour 3 ,English,USA,2007.0,6.2
Color,Roland Emmerich,158.0,Oliver Platt,2012 ,English,USA,2009.0,5.8
Color,Robert Zemeckis,96.0,Robin Wright,A Christmas Carol ,English,USA,2009.0,6.8
Color,Lana Wachowski,127.0,Channing Tatum,Jupiter Ascending ,English,USA,2015.0,5.4
Color,David Yates,110.0,Christoph Waltz,The Legend of Tarzan ,English,USA,2016.0,6.6
Color,Andrew Adamson,150.0,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",English,USA,2005.0,6.9
Color,Bryan Singer,144.0,Jennifer Lawrence,X-Men: Apocalypse ,English,USA,2016.0,7.3
Color,Christopher Nolan,152.0,Christian Bale,The Dark Knight ,English,USA,2008.0,9.0
Color,Pete Docter,96.0,John Ratzenberger,Up ,English,USA,2009.0,8.3
Color,Rob Letterman,94.0,Amy Poehler,Monsters vs. Aliens ,English,USA,2009.0,6.5
Color,Jon Favreau,126.0,Robert Downey Jr.,Iron Man ,English,USA,2008.0,7.9
Color,Martin Scorsese,126.0,Chloë Grace Moretz,Hugo ,English,USA,2011.0,7.5
Color,Barry Sonnenfeld,106.0,Will Smith,Wild Wild West ,English,USA,1999.0,4.8
Color,Rob Cohen,112.0,Jet Li,The Mummy: Tomb of the Dragon Emperor ,English,USA,2008.0,5.2
Color,David Ayer,123.0,Will Smith,Suicide Squad ,English,USA,2016.0,6.9
Color,Tom Shadyac,96.0,Jimmy Bennett,Evan Almighty ,English,USA,2007.0,5.4
Color,Doug Liman,113.0,Tom Cruise,Edge of Tomorrow ,English,USA,2014.0,7.9
Color,Kevin Reynolds,176.0,Jeanne Tripplehorn,Waterworld ,English,USA,1995.0,6.1
Color,Stephen Sommers,118.0,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,English,USA,2009.0,5.8
Color,Pete Docter,95.0,Amy Poehler,Inside Out ,English,USA,2015.0,8.3
Color,Jon Favreau,106.0,Scarlett Johansson,The Jungle Book ,English,UK,2016.0,7.8
Color,Jon Favreau,124.0,Robert Downey Jr.,Iron Man 2 ,English,USA,2010.0,7.0
Color,Rupert Sanders,132.0,Chris Hemsworth,Snow White and the Huntsman ,English,USA,2012.0,6.1
Color,Robert Stromberg,97.0,Angelina Jolie Pitt,Maleficent ,English,USA,2014.0,7.0
Color,Matt Reeves,130.0,Gary Oldman,Dawn of the Planet of the Apes ,English,USA,2014.0,7.6
Color,Roland Joffé,109.0,Tamsin Egerton,The Lovers ,English,Belgium,2015.0,4.5
Color,Carl Rinsch,128.0,Keanu Reeves,47 Ronin ,English,USA,2013.0,6.3
Color,Anthony Russo,136.0,Scarlett Johansson,Captain America: The Winter Soldier ,English,USA,2014.0,7.8
Color,Mike Mitchell,93.0,Jon Hamm,Shrek Forever After ,English,USA,2010.0,6.4
Color,Brad Bird,130.0,Judy Greer,Tomorrowland ,English,USA,2015.0,6.5
Color,Don Hall,102.0,Damon Wayans Jr.,Big Hero 6 ,English,USA,2014.0,7.9
Color,Rich Moore,101.0,Jack McBrayer,Wreck-It Ralph ,English,USA,2012.0,7.8
Color,Robert Zemeckis,100.0,Tom Hanks,The Polar Express ,English,USA,2004.0,6.6
Color,Roland Emmerich,120.0,Vivica A. Fox,Independence Day: Resurgence ,English,USA,2016.0,5.5
Color,Dean DeBlois,98.0,Gerard Butler,How to Train Your Dragon ,English,USA,2010.0,8.2
Color,Jonathan Mostow,109.0,Nick Stahl,Terminator 3: Rise of the Machines ,English,USA,2003.0,6.4
Color,James Gunn,121.0,Bradley Cooper,Guardians of the Galaxy ,English,USA,2014.0,8.1
Color,Christopher Nolan,169.0,Matthew McConaughey,Interstellar ,English,USA,2014.0,8.6
Color,Christopher Nolan,148.0,Leonardo DiCaprio,Inception ,English,USA,2010.0,8.8
Color,Hideaki Anno,120.0,Mark Chinnery,Godzilla Resurgence ,Japanese,Japan,2016.0,8.2
Color,Peter Jackson,182.0,Aidan Turner,The Hobbit: An Unexpected Journey ,English,USA,2012.0,7.9
Color,Rob Cohen,106.0,Paul Walker,The Fast and the Furious ,English,USA,2001.0,6.7
Color,David Fincher,166.0,Brad Pitt,The Curious Case of Benjamin Button ,English,USA,2008.0,7.8
Color,Matthew Vaughn,132.0,Jennifer Lawrence,X-Men: First Class ,English,USA,2011.0,7.8
Color,Francis Lawrence,137.0,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,English,USA,2015.0,6.6
Color,Jon Turteltaub,109.0,Nicolas Cage,The Sorcerer's Apprentice ,English,USA,2010.0,6.1
Color,Wolfgang Petersen,98.0,Jimmy Bennett,Poseidon ,English,USA,2006.0,5.6
Color,James Bobin,113.0,Johnny Depp,Alice Through the Looking Glass ,English,USA,2016.0,6.4
Color,Chris Miller,93.0,Justin Timberlake,Shrek the Third ,English,USA,2007.0,6.1
Color,Duncan Jones,123.0,Dominic Cooper,Warcraft ,English,USA,2016.0,7.3
Color,Alan Taylor,126.0,J.K. Simmons,Terminator Genisys ,English,USA,2015.0,6.6
Color,Michael Apted,113.0,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,English,USA,2010.0,6.3
 Black and White,Michael Bay,184.0,Jennifer Garner,Pearl Harbor ,English,USA,2001.0,6.1
Color,Michael Bay,144.0,Zack Ward,Transformers ,English,USA,2007.0,7.1
Color,Oliver Stone,206.0,Anthony Hopkins,Alexander ,English,Germany,2004.0,5.5
Color,David Yates,138.0,Robert Pattinson,Harry Potter and the Order of the Phoenix ,English,UK,2007.0,7.5
Color,Mike Newell,157.0,Robert Pattinson,Harry Potter and the Goblet of Fire ,English,UK,2005.0,7.6
Color,Peter Berg,102.0,Will Smith,Hancock ,English,USA,2008.0,6.4
Color,Francis Lawrence,104.0,Will Smith,I Am Legend ,English,USA,2007.0,7.2
Color,Tim Burton,115.0,Johnny Depp,Charlie and the Chocolate Factory ,English,USA,2005.0,6.7
Color,Brad Bird,111.0,Janeane Garofalo,Ratatouille ,English,USA,2007.0,8.0
Color,Christopher Nolan,128.0,Christian Bale,Batman Begins ,English,USA,2005.0,8.3
Color,Eric Darnell,89.0,Bernie Mac,Madagascar: Escape 2 Africa ,English,USA,2008.0,6.7
Color,Shawn Levy,105.0,Robin Williams,Night at the Museum: Battle of the Smithsonian ,English,USA,2009.0,5.9
Color,Gavin Hood,119.0,Hugh Jackman,X-Men Origins: Wolverine ,English,USA,2009.0,6.7
Color,Lana Wachowski,129.0,Essie Davis,The Matrix Revolutions ,English,Australia,2003.0,6.7
Color,Chris Buck,102.0,Josh Gad,Frozen ,English,USA,2013.0,7.6
Color,Lana Wachowski,138.0,Steve Bastoni,The Matrix Reloaded ,English,USA,2003.0,7.2
Color,Alan Taylor,112.0,Chris Hemsworth,Thor: The Dark World ,English,USA,2013.0,7.1
Color,George Miller,120.0,Tom Hardy,Mad Max: Fury Road ,English,Australia,2015.0,8.1
Color,Ron Howard,146.0,Tom Hanks,Angels & Demons ,English,USA,2009.0,6.7
Color,Kenneth Branagh,115.0,Chris Hemsworth,Thor ,English,USA,2011.0,7.0
Color,Byron Howard,96.0,Chloë Grace Moretz,Bolt ,English,USA,2008.0,6.9
Color,Hoyt Yeatman,88.0,Kelli Garner,G-Force ,English,USA,2009.0,5.1
Color,Jonathan Liebesman,99.0,Liam Neeson,Wrath of the Titans ,English,USA,2012.0,5.8
Color,Tim Burton,113.0,Johnny Depp,Dark Shadows ,English,USA,2012.0,6.2
Color,Christopher McQuarrie,131.0,Tom Cruise,Mission: Impossible - Rogue Nation ,English,China,2015.0,7.4
Color,Joe Johnston,119.0,Anthony Hopkins,The Wolfman ,English,USA,2010.0,5.8
Color,David Yates,110.0,Christoph Waltz,The Legend of Tarzan ,English,USA,2016.0,6.6
Color,Steve Hickner,91.0,Matthew Broderick,Bee Movie ,English,USA,2007.0,6.2
Color,Jennifer Yuh Nelson,90.0,Angelina Jolie Pitt,Kung Fu Panda 2 ,English,USA,2011.0,7.3
Color,M. Night Shyamalan,103.0,Seychelle Gabriel,The Last Airbender ,English,USA,2010.0,4.2
Color,J.J. Abrams,124.0,Philip Seymour Hoffman,Mission: Impossible III ,English,USA,2006.0,6.9
Color,Roland Emmerich,131.0,Channing Tatum,White House Down ,English,USA,2013.0,6.4
Color,Simon Wells,88.0,Elisabeth Harnois,Mars Needs Moms ,English,USA,2011.0,5.4
Color,David Bowers,85.0,Hugh Jackman,Flushed Away ,English,UK,2006.0,6.7
Color,Joe Wright,111.0,Hugh Jackman,Pan ,English,USA,2015.0,5.8
Color,Rob Minkoff,92.0,Ty Burrell,Mr. Peabody & Sherman ,English,USA,2014.0,6.9
Color,Wolfgang Petersen,196.0,Brad Pitt,Troy ,English,USA,2004.0,7.2
Color,Eric Darnell,93.0,Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted ,English,USA,2012.0,6.9
 Black and White,Lee Tamahori,133.0,Toby Stephens,Die Another Day ,English,UK,2002.0,6.1
Color,Paul Feig,116.0,Ed Begley Jr.,Ghostbusters ,English,USA,2016.0,5.5
Color,Michael Bay,153.0,Bruce Willis,Armageddon ,English,USA,1998.0,6.6
Color,Barry Sonnenfeld,88.0,Will Smith,Men in Black II ,English,USA,2002.0,6.1
Color,Robert Zemeckis,115.0,Robin Wright,Beowulf ,English,USA,2007.0,6.3
Color,Alessandro Carloni,95.0,J.K. Simmons,Kung Fu Panda 3 ,English,USA,2016.0,7.2
Color,Brad Bird,133.0,Tom Cruise,Mission: Impossible - Ghost Protocol ,English,USA,2011.0,7.4
Color,Peter Ramsey,97.0,Hugh Jackman,Rise of the Guardians ,English,USA,2012.0,7.3
Color,Dean Parisot,90.0,John Michael Higgins,Fun with Dick and Jane ,English,USA,2005.0,6.1
Color,Edward Zwick,154.0,Tom Cruise,The Last Samurai ,English,USA,2003.0,7.7
Color,Ridley Scott,150.0,Christian Bale,Exodus: Gods and Kings ,English,UK,2014.0,6.1
Color,J.J. Abrams,127.0,Chris Hemsworth,Star Trek ,English,USA,2009.0,8.0
Color,Sam Raimi,121.0,J.K. Simmons,Spider-Man ,English,USA,2002.0,7.3
Color,Dean DeBlois,102.0,Gerard Butler,How to Train Your Dragon 2 ,English,USA,2014.0,7.9
Color,Alex Proyas,126.0,Gerard Butler,Gods of Egypt ,English,USA,2016.0,5.5
Color,Rob Cohen,121.0,Sam Shepard,Stealth ,English,USA,2005.0,5.0
Color,Zack Snyder,215.0,Matt Frewer,Watchmen ,English,USA,2009.0,7.7
Color,Richard Donner,127.0,Jet Li,Lethal Weapon 4 ,English,USA,1998.0,6.6
Color,Ang Lee,138.0,Kevin Rankin,Hulk ,English,USA,2003.0,5.7
Color,Jon M. Chu,122.0,Channing Tatum,G.I. Joe: Retaliation ,English,USA,2013.0,5.8
Color,Breck Eisner,124.0,Matthew McConaughey,Sahara ,English,UK,2005.0,6.0
Color,Hironobu Sakaguchi,106.0,Steve Buscemi,Final Fantasy: The Spirits Within ,English,USA,2001.0,6.4
Color,Joe Johnston,124.0,Chris Evans,Captain America: The First Avenger ,English,USA,2011.0,6.9
Color,Michael Apted,128.0,Colin Salmon,The World Is Not Enough ,English,UK,1999.0,6.4
Color,Peter Weir,138.0,James D'Arcy,Master and Commander: The Far Side of the World ,English,USA,2003.0,7.4
Color,Bill Condon,115.0,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,English,USA,2012.0,5.5
Color,George Miller,100.0,Robin Williams,Happy Feet 2 ,English,Australia,2011.0,5.9
Color,Louis Leterrier,135.0,Ty Burrell,The Incredible Hulk ,English,USA,2008.0,6.8
Color,Steven Spielberg,117.0,Mark Rylance,The BFG ,English,UK,2016.0,6.8
Color,Alejandro G. Iñárritu,156.0,Leonardo DiCaprio,The Revenant ,English,USA,2015.0,8.1
Color,David Soren,96.0,Ryan Reynolds,Turbo ,English,USA,2013.0,6.5
Color,Gore Verbinski,107.0,Johnny Depp,Rango ,English,USA,2011.0,7.2
Color,Eric Darnell,92.0,Benedict Cumberbatch,Penguins of Madagascar ,English,USA,2014.0,6.7
Color,Paul Greengrass,115.0,Matt Damon,The Bourne Ultimatum ,English,USA,2007.0,8.1
Color,Mark Osborne,92.0,Angelina Jolie Pitt,Kung Fu Panda ,English,USA,2008.0,7.6
Color,Peyton Reed,117.0,Judy Greer,Ant-Man ,English,USA,2015.0,7.4
Color,Francis Lawrence,146.0,Jennifer Lawrence,The Hunger Games: Catching Fire ,English,USA,2013.0,7.6
Color,Bill Condon,115.0,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,English,USA,2012.0,5.5
Color,Tim Johnson,94.0,Jim Parsons,Home ,English,USA,2015.0,6.7
Color,Steven Spielberg,116.0,Tom Cruise,War of the Worlds ,English,USA,2005.0,6.5
Color,Michael Bay,147.0,Will Smith,Bad Boys II ,English,USA,2003.0,6.6
Color,Chris Miller,90.0,Salma Hayek,Puss in Boots ,English,USA,2011.0,6.7
Color,Phillip Noyce,101.0,Angelina Jolie Pitt,Salt ,English,USA,2010.0,6.4
Color,Darren Aronofsky,138.0,Anthony Hopkins,Noah ,English,USA,2014.0,5.8
Color,Steven Spielberg,107.0,Toby Jones,The Adventures of Tintin ,English,USA,2011.0,7.4
Color,Alfonso Cuarón,142.0,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban ,English,UK,2004.0,7.8
Color,Baz Luhrmann,165.0,Essie Davis,Australia ,English,Australia,2008.0,6.6
Color,M. Night Shyamalan,100.0,Will Smith,After Earth ,English,USA,2013.0,4.9
Color,Eric Leighton,82.0,Alfre Woodard,Dinosaur ,English,USA,2000.0,6.5
Color,Shawn Levy,98.0,Robin Williams,Night at the Museum: Secret of the Tomb ,English,USA,2014.0,6.2
Color,Tom McGrath,95.0,J.K. Simmons,Megamind ,English,USA,2010.0,7.3
Color,Chris Columbus,159.0,Daniel Radcliffe,Harry Potter and the Sorcerer's Stone ,English,UK,2001.0,7.5
Color,Robert Schwentke,96.0,Ryan Reynolds,R.I.P.D. ,English,USA,2013.0,5.6
Color,Hideaki Anno,120.0,Mark Chinnery,Godzilla Resurgence ,Japanese,Japan,2016.0,8.2
Color,Gore Verbinski,143.0,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl ,English,USA,2003.0,8.1
Color,Francis Lawrence,123.0,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1 ,English,USA,2014.0,6.7
Color,Ron Howard,174.0,Tom Hanks,The Da Vinci Code ,English,USA,2006.0,6.6
Color,Carlos Saldanha,101.0,Miguel Ferrer,Rio 2 ,English,USA,2014.0,6.4
Color,Bryan Singer,134.0,Hugh Jackman,X-Men 2 ,English,Canada,2003.0,7.5
Color,Justin Lin,132.0,Paul Walker,Fast Five ,English,USA,2011.0,7.3
Color,Guy Ritchie,129.0,Robert Downey Jr.,Sherlock Holmes: A Game of Shadows ,English,USA,2011.0,7.5
Color,Louis Leterrier,106.0,Liam Neeson,Clash of the Titans ,English,USA,2010.0,5.8
Color,Paul Verhoeven,113.0,Ronny Cox,Total Recall ,English,USA,1990.0,7.5
Color,John McTiernan,102.0,Tony Curran,The 13th Warrior ,English,USA,1999.0,6.6
Color,Tony Gilroy,135.0,Jeremy Renner,The Bourne Legacy ,English,USA,2012.0,6.7
Color,Joel Schumacher,125.0,Michael Gough,Batman & Robin ,English,USA,1997.0,3.7
Color,Ron Howard,110.0,Clint Howard,How the Grinch Stole Christmas ,English,USA,2000.0,6.0
Color,Roland Emmerich,124.0,Jake Gyllenhaal,The Day After Tomorrow ,English,USA,2004.0,6.4
Color,John Woo,123.0,Tom Cruise,Mission: Impossible II ,English,USA,2000.0,6.1
Color,Wolfgang Petersen,130.0,Karen Allen,The Perfect Storm ,English,USA,2000.0,6.4
Color,Tim Story,92.0,Chris Evans,Fantastic 4: Rise of the Silver Surfer ,English,USA,2007.0,5.6
Color,Ang Lee,127.0,Suraj Sharma,Life of Pi ,English,USA,2012.0,8.0
Color,Mark Steven Johnson,123.0,Nicolas Cage,Ghost Rider ,English,USA,2007.0,5.2
Color,Paul Greengrass,123.0,Matt Damon,Jason Bourne ,English,UK,2016.0,7.1
Color,McG,107.0,Demi Moore,Charlie's Angels: Full Throttle ,English,USA,2003.0,4.8
Color,Ridley Scott,124.0,Michael Fassbender,Prometheus ,English,USA,2012.0,7.0
Color,Rob Minkoff,77.0,Nathan Lane,Stuart Little 2 ,English,USA,2002.0,5.4
Color,Neill Blomkamp,109.0,Matt Damon,Elysium ,English,USA,2013.0,6.6
Color,David Twohy,134.0,Vin Diesel,The Chronicles of Riddick ,English,USA,2004.0,6.7
Color,José Padilha,117.0,Gary Oldman,RoboCop ,English,USA,2014.0,6.2
Color,Lana Wachowski,135.0,Scott Porter,Speed Racer ,English,USA,2008.0,6.1
Color,James L. Brooks,121.0,Shelley Conn,How Do You Know ,English,USA,2010.0,5.3
Color,James Mangold,117.0,Tom Cruise,Knight and Day ,English,USA,2010.0,6.3
Color,Joseph Kosinski,124.0,Morgan Freeman,Oblivion ,English,USA,2013.0,7.0
Color,George Lucas,140.0,Natalie Portman,Star Wars: Episode III - Revenge of the Sith ,English,USA,2005.0,7.6
Color,George Lucas,142.0,Natalie Portman,Star Wars: Episode II - Attack of the Clones ,English,USA,2002.0,6.7
Color,Pete Docter,92.0,Steve Buscemi,"Monsters, Inc. ",English,USA,2001.0,8.1
Color,James Mangold,138.0,Hugh Jackman,The Wolverine ,English,USA,2013.0,6.7
Color,George Lucas,136.0,Natalie Portman,Star Wars: Episode I - The Phantom Menace ,English,USA,1999.0,6.5
Color,Kirk De Micco,98.0,Ryan Reynolds,The Croods ,English,USA,2013.0,7.3
Color,Frédéric Forestier,116.0,Alain Delon,Asterix at the Olympic Games ,French,France,2008.0,5.1
Color,John Woo,153.0,Nicolas Cage,Windtalkers ,English,USA,2002.0,6.0
Color,Cedric Nicolas-Troyan,120.0,Chris Hemsworth,The Huntsman: Winter's War ,English,USA,2016.0,6.1
Color,Jonathan Liebesman,101.0,Noel Fisher,Teenage Mutant Ninja Turtles ,English,USA,2014.0,5.9
Color,Alfonso Cuarón,91.0,Phaldut Sharma,Gravity ,English,UK,2013.0,7.8
Color,Roger Donaldson,108.0,Jamie Renée Smith,Dante's Peak ,English,USA,1997.0,5.8
Color,Dave Green,112.0,Stephen Amell,Teenage Mutant Ninja Turtles: Out of the Shadows ,English,USA,2016.0,6.3
Color,Josh Trank,100.0,Tim Blake Nelson,Fantastic Four ,English,USA,2015.0,4.3
Color,Shawn Levy,108.0,Robin Williams,Night at the Museum ,English,USA,2006.0,6.4
Color,Brad Peyton,114.0,Dwayne Johnson,San Andreas ,English,USA,2015.0,6.1
Color,Roger Spottiswoode,119.0,Vincent Schiavelli,Tomorrow Never Dies ,English,UK,1997.0,6.5
Color,Roland Emmerich,142.0,Heath Ledger,The Patriot ,English,USA,2000.0,7.1
Color,Steven Soderbergh,125.0,Brad Pitt,Ocean's Twelve ,English,USA,2004.0,6.4
Color,Doug Liman,126.0,Brad Pitt,Mr. & Mrs. Smith ,English,USA,2005.0,6.5
Color,Robert Schwentke,119.0,Kate Winslet,Insurgent ,English,USA,2015.0,6.3
 Black and White,Martin Scorsese,170.0,Leonardo DiCaprio,The Aviator ,English,USA,2004.0,7.5
Color,Rob Letterman,85.0,James Corden,Gulliver's Travels ,English,USA,2010.0,4.9
Color,Michel Gondry,119.0,Christoph Waltz,The Green Hornet ,English,USA,2011.0,5.8
Color,Noam Murro,102.0,Eva Green,300: Rise of an Empire ,English,USA,2014.0,6.2
Color,Raja Gosnell,103.0,Mahadeo Shivraj,The Smurfs ,English,USA,2011.0,5.5
Color,Will Finn,76.0,Steve Buscemi,Home on the Range ,English,USA,2004.0,5.4
Color,Robert Schwentke,120.0,Naomi Watts,Allegiant ,English,USA,2016.0,5.8
Color,Shawn Levy,127.0,Hugh Jackman,Real Steel ,English,USA,2011.0,7.1
Color,Raja Gosnell,105.0,Jacob Tremblay,The Smurfs 2 ,English,USA,2013.0,5.4
Color,Jan de Bont,121.0,Jason Patric,Speed 2: Cruise Control ,English,USA,1997.0,3.7
Color,Gavin Hood,114.0,Harrison Ford,Ender's Game ,English,USA,2013.0,6.7
Color,Len Wiseman,129.0,Bruce Willis,Live Free or Die Hard ,English,USA,2007.0,7.2
Color,Peter Jackson,171.0,Christopher Lee,The Lord of the Rings: The Fellowship of the Ring ,English,New Zealand,2001.0,8.8
Color,Frank Coraci,120.0,Jim Broadbent,Around the World in 80 Days ,English,USA,2004.0,5.8
 Black and White,Michael Mann,165.0,Will Smith,Ali ,English,USA,2001.0,6.8
Color,Bo Welch,82.0,Sean Hayes,The Cat in the Hat ,English,USA,2003.0,3.8
Color,Alex Proyas,115.0,Will Smith,"I, Robot ",English,USA,2004.0,7.1
Color,Ridley Scott,194.0,Liam Neeson,Kingdom of Heaven ,English,USA,2005.0,7.2
Color,Rob Minkoff,84.0,Chazz Palminteri,Stuart Little ,English,Germany,1999.0,5.9
Color,Ron Clements,97.0,Oprah Winfrey,The Princess and the Frog ,English,USA,2009.0,7.1
Color,Ridley Scott,151.0,Matt Damon,The Martian ,English,USA,2015.0,8.1
Color,Michael Bay,136.0,Scarlett Johansson,The Island ,English,USA,2005.0,6.9
Color,Peter Chelsom,104.0,Del Zamora,Town & Country ,English,New Line,2001.0,4.4
Color,Dominic Sena,127.0,Nicolas Cage,Gone in Sixty Seconds ,English,USA,2000.0,6.5
Color,Ridley Scott,171.0,Djimon Hounsou,Gladiator ,English,USA,2000.0,8.5
Color,Steven Spielberg,145.0,Tom Cruise,Minority Report ,English,USA,2002.0,7.7
Color,Chris Columbus,174.0,Daniel Radcliffe,Harry Potter and the Chamber of Secrets ,English,UK,2002.0,7.4
 Black and White,Martin Campbell,144.0,Eva Green,Casino Royale ,English,UK,2006.0,8.0
Color,Tim Burton,119.0,Cary-Hiroyuki Tagawa,Planet of the Apes ,English,USA,2001.0,5.7
